Model,Outer Repeat,Fold,Experiment,Density,Cutting Speed,Feed Rate,Experiment ID,MAE,MSE,RMSE,Window Count
LSTM,1,3,"(25, 10, 15, 2)",25,10,15,2,13.170146942138672,271.7674255371094,16.485370045501234,179
LSTM,1,3,"(25, 16, 20, 2)",25,16,20,2,11.00049877166748,130.97398376464844,11.444386561308056,179
LSTM,1,3,"(25, 25, 10, 1)",25,25,10,1,8.17520809173584,98.50342559814453,9.924889198280479,179
LSTM,1,3,"(25, 63, 10, 1)",25,63,10,1,7.013857364654541,67.19853210449219,8.19747107982042,179
LSTM,1,3,"(25, 63, 20, 2)",25,63,20,2,11.611590385437012,175.46145629882812,13.246186481354856,179
LSTM,1,3,"(25, 100, 10, 1)",25,100,10,1,15.451897621154785,331.9481506347656,18.219444300932057,179
LSTM,1,3,"(25, 100, 20, 1)",25,100,20,1,4.631931304931641,26.24405860900879,5.1228955297769625,179
GRU,1,3,"(10, 10, 10, 2)",10,10,10,2,4.817577838897705,31.8719482421875,5.645524620634251,92
GRU,1,3,"(10, 10, 15, 1)",10,10,15,1,3.320958375930786,14.184996604919434,3.7662974663347337,92
GRU,1,3,"(10, 16, 10, 2)",10,16,10,2,5.628319263458252,36.86606216430664,6.071742926401499,92
GRU,1,3,"(10, 16, 15, 3)",10,16,15,3,2.9039406776428223,12.860677719116211,3.586178707080311,92
GRU,1,3,"(10, 25, 15, 3)",10,25,15,3,3.3227005004882812,16.2563533782959,4.031916836728642,92
GRU,1,3,"(10, 25, 20, 1)",10,25,20,1,3.1980862617492676,16.99600601196289,4.1226212549739385,92
GRU,1,3,"(10, 63, 10, 2)",10,63,10,2,1.7854686975479126,3.90692138671875,1.9765933792054324,92
GRU,1,3,"(10, 63, 15, 2)",10,63,15,2,1.5576238632202148,3.919830322265625,1.9798561367598468,92
GRU,1,3,"(10, 63, 20, 1)",10,63,20,1,2.22818922996521,7.569405555725098,2.751255269095381,92
GRU,1,3,"(10, 100, 15, 3)",10,100,15,3,2.630690097808838,9.959420204162598,3.1558549086044176,92
GRU,1,3,"(10, 100, 20, 2)",10,100,20,2,8.365163803100586,74.65827941894531,8.640502266589907,92
GRU,1,3,"(15, 10, 15, 2)",15,10,15,2,2.9221248626708984,18.047821044921875,4.248272713106101,92
GRU,1,3,"(15, 10, 20, 3)",15,10,20,3,2.070901393890381,10.130147933959961,3.182789332324708,92
GRU,1,3,"(15, 16, 10, 1)",15,16,10,1,4.7558369636535645,25.859115600585938,5.085185896364649,92
GRU,1,3,"(15, 25, 20, 3)",15,25,20,3,2.3830785751342773,9.211418151855469,3.0350318205672027,92
GRU,1,3,"(15, 40, 15, 2)",15,40,15,2,2.457031488418579,9.271134376525879,3.044853752896168,92
GRU,1,3,"(15, 40, 20, 2)",15,40,20,2,3.255281448364258,14.17423152923584,3.764868062659811,92
GRU,1,3,"(15, 63, 20, 2)",15,63,20,2,3.7297329902648926,18.234172821044922,4.270149039675889,92
GRU,1,3,"(15, 100, 10, 1)",15,100,10,1,2.757193088531494,10.888677597045898,3.299799629832984,92
GRU,1,3,"(20, 10, 10, 3)",20,10,10,3,17.347827911376953,559.654052734375,23.657008533083278,92
GRU,1,3,"(20, 10, 15, 3)",20,10,15,3,16.689163208007812,392.8569030761719,19.820618130526906,92
GRU,1,3,"(20, 16, 10, 1)",20,16,10,1,29.078332901000977,1222.514892578125,34.96448044198748,92
GRU,1,3,"(20, 16, 15, 3)",20,16,15,3,9.783613204956055,125.49899291992188,11.202633302930249,92
GRU,1,3,"(20, 16, 20, 2)",20,16,20,2,10.901910781860352,171.11782836914062,13.081201335089244,92
GRU,1,3,"(20, 25, 15, 1)",20,25,15,1,2.6270852088928223,11.631540298461914,3.4105044052840503,92
GRU,1,3,"(20, 25, 20, 3)",20,25,20,3,12.960875511169434,196.0325927734375,14.00116397923535,92
GRU,1,3,"(20, 40, 15, 1)",20,40,15,1,5.041992664337158,59.256771087646484,7.69784197601162,92
GRU,1,3,"(20, 40, 20, 2)",20,40,20,2,2.4231855869293213,8.57227897644043,2.927845449548256,92
GRU,1,3,"(20, 63, 15, 3)",20,63,15,3,4.063962936401367,22.40007972717285,4.732872249192117,92
GRU,1,3,"(20, 63, 20, 3)",20,63,20,3,13.83938217163086,210.43173217773438,14.50626527324433,92
GRU,1,3,"(20, 100, 10, 1)",20,100,10,1,19.007625579833984,418.6080017089844,20.45991206503548,92
GRU,1,3,"(20, 100, 20, 1)",20,100,20,1,10.090414047241211,114.24980926513672,10.688770241011673,92
GRU,1,3,"(25, 10, 10, 2)",25,10,10,2,39.456077575683594,1950.4500732421875,44.16390011357905,92
GRU,1,3,"(25, 10, 15, 2)",25,10,15,2,6.778927803039551,72.56887817382812,8.518736888402419,92
GRU,1,3,"(25, 16, 20, 2)",25,16,20,2,30.787694931030273,1100.0037841796875,33.16630495216022,92
GRU,1,3,"(25, 25, 10, 1)",25,25,10,1,19.388917922973633,457.4408874511719,21.387867763084095,92
GRU,1,3,"(25, 63, 10, 1)",25,63,10,1,8.689866065979004,130.5614471435547,11.426348810689909,92
GRU,1,3,"(25, 63, 20, 2)",25,63,20,2,8.800984382629395,103.91416931152344,10.193829962851227,92
GRU,1,3,"(25, 100, 10, 1)",25,100,10,1,17.051593780517578,334.4564208984375,18.2881497396111,92
GRU,1,3,"(25, 100, 20, 1)",25,100,20,1,4.270511627197266,21.474328994750977,4.6340402452666485,92
RNN,1,3,"(10, 10, 10, 2)",10,10,10,2,3.5204501152038574,19.485326766967773,4.41421870402541,179
RNN,1,3,"(10, 10, 15, 1)",10,10,15,1,8.11801528930664,70.18074798583984,8.377395059673374,179
RNN,1,3,"(10, 16, 10, 2)",10,16,10,2,3.205561637878418,21.18305206298828,4.602504976965075,179
RNN,1,3,"(10, 16, 15, 3)",10,16,15,3,9.800724983215332,108.29624938964844,10.406548389819193,179
